KEY|NOTES|ENGLISH|GERMAN|FRENCH|ITALIAN|SPANISH|PORTUGUESE|POLISH|RUSSIAN|PORTUGUESE BR|DUTCH|SWEDISH|NORWEGIAN|HUNGARIAN|FINNISH
PROFESSION.WOODCUTTER.FEMALE_NOUN|This could be “lumberjack” and “lumberjane”|Woodcutter|Holzfällerin|Scieuse|Taglialegna|Leñadora|Lenhadora|Drwalka|Резчица по дереву|Lenhadora|Houthakker|Skogshuggare|Tømmerhogger|Favágó|Puunhakkaaja
PROFESSION.WOODCUTTER.MALE_NOUN||Woodcutter|Holzfäller|Scieur|Taglialegna|Leñador|Lenhador|Drwal|Резчик по дереву|Lenhador|Houthakker|Skogshuggare|Tømmerhogger|Favágó|Puunhakkaaja
PROFESSION.WOODCUTTER.VERB||Chopping|Fällt|Coupant|Sta tagliando|Talando|Cortar lenha|Ścinać|Вырезание|Cortando|Houthakken|Hugga|Hugger|Fát vágni|Puunhakkuu
|||||||||||||||
RACE.DWARF.FEMALE_ADJECTIVE||Dwarven|zwergische|Naine|nana|Enana|De anã|Krasnoludzka|Гномий|Enânica|Dwergachtige|Dvärg-|Dverg|Törpe|kääpiöihin kuuluva
RACE.DWARF.FEMALE_NOUN||Dwarf|Zwergin|Naine|Nana|Enana|Anã|Krasnoludka|Гномка|Anã|Dwerg|Dvärg|Dverg|Törpe|Kääpiö
RACE.DWARF.FEMALE_PLURAL||Dwarves|Zwerge|Naines|Nane|Enanas|Anãs|Krasnoludki|Гномы|Anãs|Dwergen|Dvärgar|Dverger|Törpék|Kääpiöt
RACE.DWARF.MALE_ADJECTIVE||Dwarven|zwergischer|Nain|nano|Enano|De anão|Krasnoludzki|Гномий|Enânico|Dwergachtige|Dvärg-|Dverg|Törpe|kääpiöihin kuuluva
RACE.DWARF.MALE_NOUN|The male and female forms are only for languages that need them|Dwarf|Zwerg|Nain|Nano|Enano|Anão|Krasnolud|Гном|Anão|Dwerg|Dvärg|Dverg|Törpe|Kääpiö
RACE.DWARF.MALE_PLURAL|Note that I'm going with Tolkein's spelling of “dwarves” rather than “dwarfs”|Dwarves|Zwerge|Nains|Nani|Enanos|Anões|Krasnoludy|Гномы|Anões|Dwergen|Dvärgar|Dverger|Törpék|Kääpiöt
|||||||||||||||
RESOURCE.GEM.NOUN||Gem|Edelstein|Gemme|Gemma|Gema|Joia|Klejnot|Самоцвет|de gema|Edelsteen|Ädelsten|Juvel|Drágakő|Jalokivi
RESOURCE.GEM.PLURAL||Gems|Edelsteine|Gemmes|Gemme|Gemas|Joias|Klejnoty|Самоцветы|Gemas|Edelstenen|Ädelstenar|Juveler|Drágakövek|Jalokivet
RESOURCE.GEMS.UNREFINED.NOUN||Uncut gem|Rohedelstein|Gemme brute|Gemma grezza|Gema en bruto|Joia bruta|Nieoszlifowany klejnot|Необработанный самоцвет|Gema bruta|Ruwe edelsteen|Oslipad ädelsten|Uslepen juvel|Csiszolatlan drágakő|Hiomaton jalokivi
RESOURCE.GEMS.UNREFINED.PLURAL||Uncut gems|Rohedelsteine|Gemmes brutes|Gemme grezze|Gemas en bruto|Joias brutas|Nieoszlifowane klejnoty|Необработанные самоцветы|Gemas brutas|Ruwe edelstenen|Oslipade ädelstenar|Uslepne juveler|Csiszolatlan drágakövek|Hiomattomat jalokivet
RESOURCE.LOGS.NOUN||Log|Stamm|Bûche|Tronco|Tronco|Tronco|Pień|Бревно|Tronco|Houtblok|Stock|Tømmerstokk|Farönk|Hirsi
RESOURCE.LOGS.PLURAL||Logs|Stämme|Bûches|Tronchi|Troncos|Troncos|Pnie|Бревна|Troncos|Houtblokken|Stockar|Tømmerstokker|Farönkök|Hirret
RESOURCE.METAL.INGOT.NOUN||Ingot|Barren|Lingot|Lingotto|Lingote|Lingote|Sztabka|Слиток|Lingote|Staaf|Tacka|Barre|Öntvény|Harkko
RESOURCE.METAL.INGOT.PLURAL||Ingots|Barren|Lingots|Lingotti|Lingotes|Lingotes|Sztabki|Слитки|Lingotes|Staven|Tackor|Barrer|Öntvények|Harkot
RESOURCE.ORE.UNREFINED.NOUN||Ore|Erzbrocken|Minerai|Minerale grezzo|Mineral|Minério|Ruda|Руда|Minério|Erts|Mineral|Malm|Érc|Malmi
RESOURCE.ORE.UNREFINED.PLURAL||Ores|Erzbrocken|Minerais|Minerali grezzi|Minerales|Minérios|Rudy|Руды|Minérios|Ertsen|Mineraler|Malm|Ércek|Malmit
RESOURCE.PLANKS.NOUN||Plank|Brett|Planche|Asse|Tabla|Tábua|Deska|Доска|Tábua|Plank|Planka|Planke|Deszka|Lankku
RESOURCE.PLANKS.PLURAL||Planks|Bretter|Planches|Assi|Tablas|Tábuas|Deski|Доски|Tábuas|Planken|Plankor|Planker|Deszkák|Lankut
RESOURCE.STONE.BLOCK.NOUN||Block|Block|Bloc|Blocco|Bloque|Bloco|Blok|Блок|Bloco|Blok|Block|Blokk|Kőtömb|Tiili
RESOURCE.STONE.BLOCK.PLURAL||Blocks|Blöcke|Blocs|Blocchi|Bloques|Blocos|Bloki|Блоки|Blocos|Blokken|Block|Blokker|Kőtömbök|Tiilet
RESOURCE.STONE.UNREFINED.NOUN||Rough stone boulder|Steinbrocken|Rocher brut|Blocco di pietra grezza|Peñasco|Pedregulho de pedra bruta|Nieociosany głaz|Грубый валун|Pedregulho de pedra bruta|Rotsblok|Grovt stenblock|Upolert kampestein|Csiszolatlan kőtömb|Kivilohkare
RESOURCE.STONE.UNREFINED.PLURAL||Rough stone boulders|Steinbrocken|Rochers bruts|Blocchi di pietra grezza|Peñascos|Pedregulhos de pedra bruta|Nieociosane głazy|Грубые валуны|Pedregulhos de pedra bruta|Rotsblokken|Grova stenblock|Upolerte kampesteiner|Csiszolatlan kőtömbök|Kivilohkareet
|||||||||||||||
ROOMS.BEDROOM||Bedroom|Schlafzimmer|Chambre|Camera da letto|Dormitorio|Quarto|Sypialnia|Спальня|Dormitório|||||
ROOMS.CARPENTRY_WORKSHOP||Carpentry workshop|Schreinerei|Menuiserie|Falegnameria|Taller de carpintería|Oficina de carpintaria|Warsztat stolarski|Мастерская плотника|Oficina de carpintaria|Timmerwerkplaats|Snickarbod|Snekkerverksted|Ács|Puusepän verstas
ROOMS.FARM||Farm plot|Feld|Parcelle|Campo da coltivare|Huerto|Parcela de cultivo|Działka rolna|Огород|Fazenda|||||
ROOMS.KITCHEN||Kitchen|Küche|Cuisine|Cucina|Cocina|Cozinha|Kuchnia|Кухня|Cozinha|||||
ROOMS.MASONRY_WORKSHOP||Masonry workshop|Maurerei|Carrière|Cantiere|Taller de albañilería|Oficina de alvenaria|Warsztat murarski|Мастерская каменщика|Oficina de pedreiro|Steenhouwerij|Murarverkstad|Steinhuggerverksted|Kőfaragó|Kivenhakkaajan verstas
ROOMS.PLACEHOLDER_METALWORKS||Placeholder metalworks|Platzhalter-Schlosserei|Ferronnerie provisoire|Fonderia segnaposto|Marcador de metalistería|Placeholder metalurgia|Tymczasowy warsztat metalurgii|Временная металлообработка|Metalúrgica provisória|||||
ROOMS.SAWMILL||Sawmill|Sägewerk|Scierie|Segheria|Aserradero|Serraria|Tartak|Лесопилка|Madeireira|Houtzagerij|Såg|Sagbruk|Fűrészmalom|Saha
ROOMS.STOCKPILE||Stockpile|Vorrat|Réserve|Deposito|Reservas|Armazém|Skład|Склад||Depot|Lager|Lager||Varasto
ROOMS.STOCKPILES||Stockpiles|Lager|Réserves|Magazzini|Reservas|Reservas|Skład|Склады|Estocagens|||||
ROOMS.FEASTING_HALL||Feasting hall|Speisesaal |Salle de festin|Sala delle feste|Comedor |Refeitório |Święto Hall|Праздничный зал|Refeitório |||||
|||||||||||||||
SEASON.AUTUMN||Autumn|Herbst|Automne|Autunno|Otoño|Outono|Jesień|Осень|Outono|Herfst|Höst|Høst|Ősz|Syksy
SEASON.SPRING||Spring|Frühling|Printemps|Primavera|Primavera|Primavera|Wiosna|Весна|Primavera|Lente|Vår|Vår|Tavasz|Kevät
SEASON.SUMMER||Summer|Sommer|Été|Estate|Verano|Verão|Lato|Лето|Verão|Zomer|Sommar|Sommer|Nyár|Kesä
SEASON.WINTER||Winter|Winter|Hiver|Inverno|Invierno|Inverno|Zima|Зима|Inverno|Winter|Vinter|Vinter|Tél|Talvi
|||||||||||||||
SEED.BARLEY_SEED||Barley|Gersten|Orge|Orzo|de cebada|Cevada|Jęczmień|Ячмень|Cevada|||||
SEED.CARROT_SEED||Carrot|Karotten|Carotte|Carota|de zanahoria|Cenoura|Marchewka|Морковь|Cenoura|||||
SEED.CORN_SEED||Corn|Mais|Maïs|Mais|de maíz|Milho|Kukurydza|Кукуруза|Milho|||||
SEED.HOPS_SEED||Hops|Hopfen|Houblon|Luppolo|de lúpulo|Lúpulo|Chmiel|Хмель|Lúpulo|||||
SEED.POTATO_SEED||Potato|Kartoffel|Pomme de terre|Patata|de patata|Batata|Ziemniak|Картофель|Batata|||||
SEED.TOMATO_SEED||Tomato|Tomaten|Tomate|Pomodoro|de tomate|Tomate|Pomidor|Помидоры|Tomate|||||
SEED.WHEAT_SEED||Wheat|Weizen|Blé|Grano|de trigo|Trigo|Pszenica|Пшеница|Trigo|||||
|||||||||||||||
SHRUB.DESCRIPTION|Shrub or bush should do|Bush|Büsche|Arbuste|Cespuglio|Arbusto|Arbusto|Krzak|Куст|Arbusto|Struikgewas|Buske|Busk|Bokor|Pensas
|||||||||||||||
STOCKPILE.GRANARY||Granary|Getreidespeicher|Grange|Granaio|Granero|Celeiro|Spichlerz|Амбар|Celeiro|||||
STOCKPILE.PANTRY||Pantry|Vorratskammer|Cellier|Dispensa|Despensa|Despensa|Spiżarnia|Кладовая|Despensa|||||
STOCKPILE.RESOURCES||Resources|Materiallager|Ressources|Risorse|Recursos|Recursos|Zasoby|Ресурсы|Recursos|||||
STOCKPILE.TOOLS||Tools|Werkzeuglager|Outils|Attrezzi|Herramientas|Ferramentas|Narzędzia|Инструменты|Ferramentas|||||
|||||||||||||||
STONE.BASALT.ADJECTIVE||Basalt|Basalt|en basalte|di basalto|De basalto|De basalto|Bazaltowy|(базальт)|de basalto|Basalten|Basalt-|Basalt|Bazalt|Basalttinen
STONE.BASALT.NOUN||Basalt|Basalt|Basalte|Basalto|Basalto|Basalto|Bazalt|Базальт|de basalto|Basalt|Basalt|Basalt|Bazalt|Basaltti
STONE.DOLOSTONE.ADJECTIVE||Dolostone|Dolomit|en dolomie|di roccia dolomitica|De dolomía|De dolomito|Dolomitowy|(доломитид)|de dolomita|Dolomieten|Dolomit-|Dolomitt|Dolomit|Dolomiittikivinen
STONE.DOLOSTONE.NOUN||Dolostone|Dolomit|Dolimie|Roccia dolomitica|Dolomía|Dolomito|Dolomit|Доломитид|de dolomita|Dolomiet|Dolomit|Dolomitt|Dolomit|Dolomiittikivi
STONE.GRANITE.ADJECTIVE||Granite|Granit|en granite|di granito|De granito|De granito|Granitowy|(гранит)|de granito|Granieten|Granit-|Granitt|Gránit|Graniittinen
STONE.GRANITE.NOUN||Granite|Granit|Granite|Granito|Granito|Granito|Granit|Гранит|de granito|Graniet|Granit|Granitt|Gránit|Graniitti
STONE.LIMESTONE.ADJECTIVE||Limestone|Kalkstein|en calcaire|di pietra calcarea|De caliza|De calcário|Wapienny|(известняк)|de calcário|Kalkstenen|Kalkstens-|Kalkstein|Mészkő|Kalkkikivinen
STONE.LIMESTONE.NOUN||Limestone|Kalkstein|Calcaire|Pietra calcarea|Caliza|Calcário|Wapień|Известняк|de calcário|Kalksteen|Kalksten|Kalkstein|Mészkő|Kalkkikivi
STONE.MARBLE.ADJECTIVE||Marble|Marmor|en marbre|di marmo|De mármol|De mármore|Marmurowy|(мрамор)|de mármore|Marmeren|Marmor-|Marmor|Márvány|Marmorinen
STONE.MARBLE.NOUN||Marble|Marmor|Marbre|Marmo|Mármol|Mármore|Marmur|Мрамор|de mármore|Marmer|Marmor|Marmor|Márvány|Marmori
STONE.SANDSTONE.ADJECTIVE||Sandstone|Sandstein|en grès|di arenaria|De arenisca|De arenito|Piaskowcowy|(песчаник)|de arenito|Zandstenen|Sandstens-|Sandstein|Homokkő|Hiekkakivinen
STONE.SANDSTONE.NOUN||Sandstone|Sandstein|Grès|Arenaria|Arenisca|Arenito|Piaskowiec|Песчаник|de arenito|Zandsteen|Sandsten|Sandstein|Homokkő|Hiekkakivi
STONE.SHALE.ADJECTIVE||Shale|Tonstein|en schiste|di scisto|De equisto|De xisto|Ilasty|(глинистый сланец)|de xisto|Schalie|Lerskiffer-|Leirskifer|Agyagpala|Liuskakivinen
STONE.SHALE.NOUN||Shale|Tonstein|Schiste|Scisto|Equisto|Xisto|Iłołupek|Глинистый сланец|de xisto|Schalie|Lerskiffer|Leirskifer|Agyagpala|Liuskakivi
STONE.SLATE.ADJECTIVE||Slate|Schiefer|en ardoise|di ardesia|De pizarra|De ardósia|Łupkowy|(аспидный сланец)|de ardósia|Leistenen|Skiffer-|Skifer|Pala|Savikivinen
STONE.SLATE.NOUN||Slate|Schiefer|Ardoise|Ardesia|Pizarra|Ardósia|Łupek|Аспидный сланец|de ardósia|Leisteen|Skiffer|Skifer|Pala|Savikivi
|||||||||||||||
TOOL.AXE.NOUN||Axe|Axt|Hâche|Ascia|Hacha|Machado|Siekiera|Топор|Machado|Bijl|Yxa|Øks|Balta|Kirves
TOOL.CHISEL.NOUN||Chisel|Meißel|Burin|Scalpello |Cincel|Formão|Dłuto|Резец|Cinzel|Beitel|Mejsel|Meisel|Véső|Taltta
TOOL.FISHING.ROD.NOUN||Fishing rod|Angelrute|Canne à pêche|Canna da pesca|Caña de pescar|Cana de pesca|Wędka|Удочка|Vara de pescar|Hengel|Fiskespö|Fiskestang|Horgászbot|Onki
TOOL.KITCHEN.KNIFE.NOUN||Kitchen knife|Küchenmesser|Couteau de cuisine|Coltello da cucina|Cuchillo de cocina|Faca de cozinha|Nóż kuchenny|Кухонный нож|Faca de cozinha|Keukenmes|Kökskniv|Kjøkkenkniv|Konyhakés|Keittiöveitsi
TOOL.LARGE.HAMMER.NOUN||Large hammer|Vorschlaghammer|Gros marteau|Martello grande|Martillo grande|Martelo grande|Duży młot|Молот|Martelo grande|Grote hamer|Stor hammare|Stor hammer|Pöröly|Leka
TOOL.PICKAXE.NOUN||Pickaxe|Spitzhacke|Pioche|Piccone|Pico|Picareta|Kilof|Кирка|Picareta|Houweel|Hacka|Hakke|Csákány|Hakku
TOOL.PLANE.NOUN|A carpenter's plane|Plane|Hobel|Rabot|Pialla|Garlopa|Plaina|Hebel|Рубанок|Plaina|Schaaf|Hyvel|Høvel|Gyalu|Höylä
TOOL.ROLLING.PIN.NOUN||Rolling pin|Nudelholz|Rouleau à pâtisserie|Mattarello|Rodillo|Rolo da massa|Wałek do ciasta|Скалка|Rolo de massa|Deegroller|Brödkavel|Kjevle|Nyújtófa|Kaulin
TOOL.SAW.NOUN|A carpenter's saw|Saw|Säge|Scie|Seghetto|Sierra|Serrote|Piła|Пила|Serrote|Zaag|Såg|Sag|Fűrész|Saha
TOOL.SMALL.HAMMER.NOUN||Hammer|Hammer|Marteau|Martello|Martillo|Martelo|Młot|Молоток|Martelo|Hamer|Hammare|Hammer|Kalapács|Vasara
TOOL.TONGS.NOUN|A blacksmith's tongs|Tongs|Zange|Pinces|Tenaglie|Tenazas|Tenazes|Cęgi|Клещи|Tenazes|Tang|Täng|Tang|Fogó|Pihdit
||||||||||||Tänger|||
TREE.DESCRIPTION|E.g. “Oak tree”|{{materialType.noun}} tree|{{materialType}}|{{materialType.noun}}|Pianta {{materialType.noun}}|{{materialType.noun}}|Árvore de {{materialType.noun}}|Drzewo {{materialType.noun}}|{{materialType.noun}}|árvore de {{materialType.noun}}|||||
|||||||||||{{materialType.noun}} boom||Tre – {{materialType.noun}}|{{materialType.noun}} fa|{{materialType.noun}}
VEGETABLE.BARLEY||Barley|Gerste|Orge|Orzo|de cebada|Cevada|Jęczmień|Ячмень|Cevada|||||
VEGETABLE.BARLEY.PLURAL||Barley|Gerste|Orge|Orzo|de cebada|Cevada|Jęczmień|Ячмень|Cevada|||||
VEGETABLE.CARROT||Carrot|Karotte|Carotte|Carota|de zanahoria|Cenoura|Marchewka|Морковина|Cenoura|||||
VEGETABLE.CARROT.PLURAL||Carrots|Karotten|Carottes|Carote|Zanahorias|Cenouras|Marchewki|Морковины|Cenouras|||||
VEGETABLE.CORN||Sweetcorn|Mais|Maïs doux|Mais|Maíz|Milho doce|Słodka kukurydza|Сахарная кукуруза|Milho verde|||||
VEGETABLE.CORN.PLURAL||Sweetcorn|Mais|Maïs doux|Mais|Maíz|Milho doce|Słodka kukurydza|Сахарная кукуруза|Milho verde|||||
VEGETABLE.HOPS||Hops|Hopfen|Houblon|Luppolo|de lúpulo|Lúpulo|Chmiel|Хмель|Lúpulo|||||
VEGETABLE.HOPS.PLURAL||Hops|Hopfen|Houblon|Luppolo|de lúpulo|Lúpulo|Chmiel|Хмель|Lúpulo|||||
VEGETABLE.POTATO||Potato|Kartoffel|Pomme de terre|Patata|de patata|Batata|Ziemniak|Картофелина|Batata|||||
VEGETABLE.POTATO.PLURAL||Potatoes|Kartoffeln|Pommes de terre|Patate|Patatas|Batatas|Ziemniaki|Картофелины|Batatas|||||
VEGETABLE.TOMATO||Tomato|Tomate|Tomate|Pomodoro|de tomate|Tomate|Pomidor|Помидор|Tomate|||||
VEGETABLE.TOMATO.PLURAL||Tomatoes|Tomaten|Tomates|Pomodori|Tomates|Tomates|Pomidory|Помидоры|Tomates|||||
VEGETABLE.WHEAT||Wheat|Weizen|Blé|Grano|de trigo|Trigo|Pszenica|Пшеница|Trigo|||||
VEGETABLE.WHEAT.PLURAL||Wheat|Weizen|Blé|Grano|de trigo|Trigo|Pszenica|Пшеница|Trigo|||||
|||||||||||||||
FOODSTUFF.BREAD||Bread|Brot|Pain :|Pane|Pan|Pão|Chleb|Хлеб:|Pão|||||
|||||||||||||||
INGREDIENT.FLOUR||Flour|Mehl|Farine|Farina|Harina|Farinha|Mąka|мука|Farinha|||||
INGRDIENT.DOUGH|To be combined with the above as “bread dough”|Dough|Teig|Pâte|Impasto|Masa|Massa|Ciasto|тесто|Massa|||||
INGREDIENT.LOAF|To be combined with the above as “bread loaf”|Loaf|Laib|Miche|Filone|Hogaza|Pão de forma|Bochenek|буханка|Fatia|||||
INGREDIENT.LOAF.PLURAL||Loaves|Laibe|Miches|Filoni|Hogazas|Pães de forma|Bochenki|буханки|Fatias|||||
|||||||||||||||
WALL.DESCRIPTION|E.g. “Granite rock wall”, “Granite smooth stone wall”|{{materialType.adjective}} {{wallType.noun}}|{{wallType.noun}} aus {{materialType}}|{{wallType.noun}} {{materialType.adjective}}|{{wallType.noun}} {{materialType.adjective}}|{{wallType.noun}} {{materialType.adjective}}|{{materialType.adjective}} {{wallType.noun}}|{{wallType.noun}}: {{materialType.adjective}}|{{wallType.noun}} {{materialType.adjective}}|{{wallType.noun}} {{materialType.adjective}}|{{materialType.adjective}} {{wallType.noun}}||{{wallType.noun}} av {{materialType.adjective}}||{{materialType.adjective}} {{wallType.noun}}
WALL.GEMS.NOUN||Gems|Edelstein|Mur|Parete|Muro|Joias|Klejnoty|Самоцветы|Gemas|{{BLANK}}|Ädelstenar|Juveler|Drágakövek|{{BLANK}}
WALL.ORE.NOUN||Ore|Erz|Mur en|Parete|Muro|Minério|Ruda|Руда|Minério|{{BLANK}}|Malm|Malm|Érc|{{BLANK}}
WALL.ROUGH_STONE.NOUN||Rock wall|Steinwand|Mur de pierre|Parete di roccia|Muro rocoso|Muro de pedra|Skalna ściana|Каменная стена|Parede de rocha|Stenen muur|Stenmur|Steinmur|Kő fal|Kiviseinä
WALL.STONE_BLOCK.NOUN||Smooth stone wall|Glatte Steinwand|Paroi lisse|Parete di pietra liscia|Muro pulido|Muro de pedra suave|Gładka skalna ściana|Стена из гладкого камня|Parede de rocha polida|Gladde stenen muur|Slät stenmur|Glatt steinmur|Minőségi kő fal|Laattaseinä
WALL.WOODEN.NOUN||Wood wall|Holzwand|Mur|Parete di legno|Muro de madera|Muro de madeira|Drewniana ściana|Деревянная стена|Parede de madeira|Houten wand|Trävägg|Tremur|Fa fal|Puuseinä
|||||||||||||||
WOOD.BEECH.ADJECTIVE||Beech|Buche|en hêtre|di faggio|De haya|De faia|Bukowe|(бук)|de faia|Beukenhouten|Bok-|Bøk|Bükk|Pyökistä tehty
WOOD.BEECH.NOUN||Beech|Buche|Hêtre|Faggio|Haya|Faia|Buk|Бук|de faia|Beukenhout|Bok|Bøk|Bükk|Pyökki
WOOD.BIRCH.ADJECTIVE||Birch|Birke|en bouleau|di betulla|De abedul|De bétula|Brzozowe|(береза)|de bétula|Berkenhouten|Björk-|Bjørk|Nyír|Koivusta tehty
WOOD.BIRCH.NOUN||Birch|Birke|Bouleau|Betulla|Abedul|Bétula|Brzoza|Береза|de bétula|Berkenhout|Björk|Bjørk|Nyír|Koivu
WOOD.FIR.ADJECTIVE||Fir|Tanne|en sapin|di abete|De abeto|De abeto|Jodłowe|(мех)|de abeto|Dennenhouten|Gran-|Gran|Vörös fenyő |Kuusesta tehty
WOOD.FIR.NOUN||Fir|Tanne|Sapin|Abete|Abeto|Abeto|Jodła|Мех|de abeto|Dennenhout|Gran|Gran|Vörös fenyő |Kuusi
WOOD.MAPLE.ADJECTIVE||Maple|Ahorn|en érable|di acero|De arce|De ácer|Klonowe|(клен)|de bordo|Esdoornhouten|Lönn-|Lønn|Juhar|Vaahterasta tehty
WOOD.MAPLE.NOUN||Maple|Ahorn|Érable|Acero|Arce|Ácer|Klon|Клен|de bordo|Esdoornhout|Lönn|Lønn|Juhar|Vaahtera
WOOD.OAK.ADJECTIVE||Oaken|Eiche|en chêne|di quercia|De roble|De carvalho|Dębowe|(дуб)|de carvalho|Eikenhouten|Ek-|Eik|Tölgy|Tammesta tehty
WOOD.OAK.NOUN||Oak|Eiche|Chêne|Quercia|Roble|Carvalho|Dąb|Дуб|Carvalho|Eikenhout|Ek|Eik|Tölgy|Tammi
WOOD.PINE.ADJECTIVE||Pine|Kiefer|en pin|di pino|De pino|De pinheiro|Sosnowe|(сосна)|de pinheiro|Vurenhouten|Tall-|Furu|Ezüst fenyő |Männystä tehty
WOOD.PINE.NOUN||Pine|Kiefer|Pin|Pino|Pino|Pinheiro|Sosna|Сосна|de pinheiro|Vurenhout|Tall|Furu|Ezüst fenyő |Mänty
