KEY|ENGLISH|NOTES|GERMAN|FRENCH|ITALIAN|SPANISH|PORTUGUESE|PORTUGUESE BR|POLISH|RUSSIAN|DANISH|DUTCH|SWEDISH|NORWEGIAN|HUNGARIAN|FINNISH|
STONE.BASALT.NOUN|Basalt||Basalt|Basalte|Basalto|Basalto|Basalto|de basalto|Bazalt|Базальт|||||||
STONE.DOLOSTONE.ADJECTIVE|Dolostone||Dolomit|en dolomie|di roccia dolomitica|De dolomía|De dolomito|de dolomita|Dolomitowy|(доломитид)|||||||
STONE.DOLOSTONE.NOUN|Dolostone||Dolomit|Dolimie|Roccia dolomitica|Dolomía|Dolomito|de dolomita|Dolomit|Доломитид|||||||
STONE.GRANITE.ADJECTIVE|Granite||Granit|en granite|di granito|De granito|De granito|de granito|Granitowy|(гранит)|||||||
STONE.GRANITE.NOUN|Granite||Granit|Granite|Granito|Granito|Granito|de granito|Granit|Гранит|||||||
STONE.LIMESTONE.ADJECTIVE|Limestone||Kalkstein|en calcaire|di pietra calcarea|De caliza|De calcário|de calcário|Wapienny|(известняк)|||||||
STONE.LIMESTONE.NOUN|Limestone||Kalkstein|Calcaire|Pietra calcarea|Caliza|Calcário|de calcário|Wapień|Известняк|||||||
STONE.MARBLE.ADJECTIVE|Marble||Marmor|en marbre|di marmo|De mármol|De mármore|de mármore|Marmurowy|(мрамор)|||||||
STONE.MARBLE.NOUN|Marble||Marmor|Marbre|Marmo|Mármol|Mármore|de mármore|Marmur|Мрамор|||||||
STONE.SANDSTONE.ADJECTIVE|Sandstone||Sandstein|en grès|di arenaria|De arenisca|De arenito|de arenito|Piaskowcowy|(песчаник)|||||||
STONE.SANDSTONE.NOUN|Sandstone||Sandstein|Grès|Arenaria|Arenisca|Arenito|de arenito|Piaskowiec|Песчаник|||||||
STONE.SHALE.ADJECTIVE|Shale||Tonstein|en schiste|di scisto|De equisto|De xisto|de xisto|Ilasty|(глинистый сланец)|||||||
STONE.SHALE.NOUN|Shale||Tonstein|Schiste|Scisto|Equisto|Xisto|de xisto|Iłołupek|Глинистый сланец|||||||
STONE.SLATE.ADJECTIVE|Slate||Schiefer|en ardoise|di ardesia|De pizarra|De ardósia|de ardósia|Łupkowy|(аспидный сланец)|||||||
STONE.SLATE.NOUN|Slate||Schiefer|Ardoise|Ardesia|Pizarra|Ardósia|de ardósia|Łupek|Аспидный сланец|||||||

TOOL.AXE.NOUN|Axe||Axt|Hâche|Ascia|Hacha|Machado|Machado|Siekiera|Топор|||||||
TOOL.CHISEL.NOUN|Chisel||Meißel|Burin|Scalpello |Cincel|Formão|Cinzel|Dłuto|Резец|||||||
TOOL.FISHING.ROD.NOUN|Fishing rod||Angelrute|Canne à pêche|Canna da pesca|Caña de pescar|Cana de pesca|Vara de pescar|Wędka|Удочка|||||||
TOOL.KITCHEN.KNIFE.NOUN|Kitchen knife||Küchenmesser|Couteau de cuisine|Coltello da cucina|Cuchillo de cocina|Faca de cozinha|Faca de cozinha|Nóż kuchenny|Кухонный нож|||||||
TOOL.LARGE.HAMMER.NOUN|Large hammer||Vorschlaghammer|Gros marteau|Martello grande|Martillo grande|Martelo grande|Martelo grande|Duży młot|Молот|||||||
TOOL.PICKAXE.NOUN|Pickaxe||Spitzhacke|Pioche|Piccone|Pico|Picareta|Picareta|Kilof|Кирка|||||||
TOOL.PLANE.NOUN|Plane|A carpenter's plane|Hobel|Rabot|Pialla|Garlopa|Plaina|Plaina|Hebel|Рубанок|||||||
TOOL.ROLLING.PIN.NOUN|Rolling pin||Nudelholz|Rouleau à pâtisserie|Mattarello|Rodillo|Rolo da massa|Rolo de massa|Wałek do ciasta|Скалка|||||||
TOOL.SAW.NOUN|Saw|A carpenter's saw|Säge|Scie|Seghetto|Sierra|Serrote|Serrote|Piła|Пила|||||||
TOOL.SMALL.HAMMER.NOUN|Hammer||Hammer|Marteau|Martello|Martillo|Martelo|Martelo|Młot|Молоток|||||||
TOOL.TONGS.NOUN|Tongs|A blacksmith's tongs|Zange|Pinces|Tenaglie|Tenazas|Tenazes|Tenazes|Cęgi|Клещи|||||||

TREE.DESCRIPTION|{{materialType.noun}} tree|E.g. “Oak tree”|{{materialType}}|{{materialType.noun}}|Pianta {{materialType.noun}}|{{materialType.noun}}|Árvore de {{materialType.noun}}|árvore de {{materialType.noun}}|Drzewo {{materialType.noun}}|{{materialType.noun}}|||||||

VEGETABLE.BARLEY|Barley||Gerste|Orge|Orzo|de cebada|Cevada|Cevada|Jęczmień|Ячмень|||||||
VEGETABLE.BARLEY.PLURAL|Barley||Gerste|Orge|Orzo|de cebada|Cevada|Cevada|Jęczmień|Ячмень|||||||
VEGETABLE.CARROT|Carrot||Karotte|Carotte|Carota|de zanahoria|Cenoura|Cenoura|Marchewka|Морковина|||||||
VEGETABLE.CARROT.PLURAL|Carrots||Karotten|Carottes|Carote|Zanahorias|Cenouras|Cenouras|Marchewki|Морковины|||||||
VEGETABLE.CORN|Sweetcorn||Mais|Maïs doux|Mais|Maíz|Milho doce|Milho verde|Słodka kukurydza|Сахарная кукуруза|||||||
VEGETABLE.CORN.PLURAL|Sweetcorn||Mais|Maïs doux|Mais|Maíz|Milho doce|Milho verde|Słodka kukurydza|Сахарная кукуруза|||||||
VEGETABLE.HOPS|Hops||Hopfen|Houblon|Luppolo|de lúpulo|Lúpulo|Lúpulo|Chmiel|Хмель|||||||
VEGETABLE.HOPS.PLURAL|Hops||Hopfen|Houblon|Luppolo|de lúpulo|Lúpulo|Lúpulo|Chmiel|Хмель|||||||
VEGETABLE.POTATO|Potato||Kartoffel|Pomme de terre|Patata|de patata|Batata|Batata|Ziemniak|Картофелина|||||||
VEGETABLE.POTATO.PLURAL|Potatoes||Kartoffeln|Pommes de terre|Patate|Patatas|Batatas|Batatas|Ziemniaki|Картофелины|||||||
VEGETABLE.TOMATO|Tomato||Tomate|Tomate|Pomodoro|de tomate|Tomate|Tomate|Pomidor|Помидор|||||||
VEGETABLE.TOMATO.PLURAL|Tomatoes||Tomaten|Tomates|Pomodori|Tomates|Tomates|Tomates|Pomidory|Помидоры|||||||
VEGETABLE.WHEAT|Wheat||Weizen|Blé|Grano|de trigo|Trigo|Trigo|Pszenica|Пшеница|||||||
VEGETABLE.WHEAT.PLURAL|Wheat||Weizen|Blé|Grano|de trigo|Trigo|Trigo|Pszenica|Пшеница|||||||

WALL.DESCRIPTION|{{materialType.adjective}} {{wallType.noun}}|E.g. “Granite rock wall”, “Granite smooth stone wall”|{{wallType.noun}} aus {{materialType}}|{{wallType.noun}} {{materialType.adjective}}|{{wallType.noun}} {{materialType.adjective}}|{{wallType.noun}} {{materialType.adjective}}|{{materialType.adjective}} {{wallType.noun}}|{{wallType.noun}} {{materialType.adjective}}|{{wallType.noun}}: {{materialType.adjective}}|{{wallType.noun}} {{materialType.adjective}}|||||||
WALL.GEMS.NOUN|Gems||Edelstein|Mur|Parete|Muro|Joias|Gemas|Klejnoty|Самоцветы|||||||
WALL.ORE.NOUN|Ore||Erz|Mur en|Parete|Muro|Minério|Minério|Ruda|Руда|||||||
WALL.ROUGH_STONE.NOUN|Rock wall||Steinwand|Mur de pierre|Parete di roccia|Muro rocoso|Muro de pedra|Parede de rocha|Skalna ściana|Каменная стена|||||||
WALL.STONE_BLOCK.NOUN|Smooth stone wall||Glatte Steinwand|Paroi lisse|Parete di pietra liscia|Muro pulido|Muro de pedra suave|Parede de rocha polida|Gładka skalna ściana|Стена из гладкого камня|||||||
WALL.WOODEN.NOUN|Wood wall||Holzwand|Mur|Parete di legno|Muro de madera|Muro de madeira|Parede de madeira|Drewniana ściana|Деревянная стена|||||||

WOOD.BEECH.ADJECTIVE|Beech||Buche|en hêtre|di faggio|De haya|De faia|de faia|Bukowe|(бук)|||||||
WOOD.BEECH.NOUN|Beech||Buche|Hêtre|Faggio|Haya|Faia|de faia|Buk|Бук|||||||
WOOD.BIRCH.ADJECTIVE|Birch||Birke|en bouleau|di betulla|De abedul|De bétula|de bétula|Brzozowe|(береза)|||||||
WOOD.BIRCH.NOUN|Birch||Birke|Bouleau|Betulla|Abedul|Bétula|de bétula|Brzoza|Береза|||||||
WOOD.FIR.ADJECTIVE|Fir||Tanne|en sapin|di abete|De abeto|De abeto|de abeto|Jodłowe|(мех)|||||||
WOOD.FIR.NOUN|Fir||Tanne|Sapin|Abete|Abeto|Abeto|de abeto|Jodła|Мех|||||||
WOOD.MAPLE.ADJECTIVE|Maple||Ahorn|en érable|di acero|De arce|De ácer|de bordo|Klonowe|(клен)|||||||
WOOD.MAPLE.NOUN|Maple||Ahorn|Érable|Acero|Arce|Ácer|de bordo|Klon|Клен|||||||
WOOD.OAK.ADJECTIVE|Oaken||Eiche|en chêne|di quercia|De roble|De carvalho|de carvalho|Dębowe|(дуб)|||||||
WOOD.OAK.NOUN|Oak||Eiche|Chêne|Quercia|Roble|Carvalho|Carvalho|Dąb|Дуб|||||||
WOOD.PINE.ADJECTIVE|Pine||Kiefer|en pin|di pino|De pino|De pinheiro|de pinheiro|Sosnowe|(сосна)|||||||
WOOD.PINE.NOUN|Pine||Kiefer|Pin|Pino|Pino|Pinheiro|de pinheiro|Sosna|Сосна|||||||
